MATCH_DATE,HOME_TEAM,AWAY_TEAM,A Win,B Win,Home Win,H_PLUS_MINUS_LS,A_PLUS_MINUS_LS,H_AVG_ODDS_L5,H_PLUS_MINUS_L5,A_PLUS_MINUS_L5,A_AVG_ODDS_L5,LS_PPG_DIFF,LS_FGPCT_DIFF,LS_FTPCT_DIFF,LS_TPPCT_DIFF,LS_OFF_REB_DIFF,LS_ASSIST_DIFF,LS_STEALS_DIFF,LS_TURNOVERS_DIFF,LS_BLOCKS_DIFF,L5_PPG_DIFF,L5_FGPCT_DIFF,L5_FTPCT_DIFF,L5_TPPCT_DIFF,L5_OFF_REB_DIFF,L5_ASSIST_DIFF,L5_STEALS_DIFF,L5_TURNOVERS_DIFF,L5_BLOCKS_DIFF
2016-10-25,Cleveland Cavaliers,New York Knicks,1.22,4.55,1,-1.66,1.72,-498,18.00,-1.40,155,2.30,0.04,0.15,0.08,1.55,2.44,-0.47,0.15,-0.73,12.40,5.80,-6.60,4.40,1.80,-1.60,1.00,-1.80,-1.20
2016-10-26,Portland Trail Blazers,Utah Jazz,1.43,2.95,1,7.22,0.53,7,6.00,2.60,-159,4.27,-0.01,-0.01,-0.04,1.12,1.24,0.54,1.13,1.29,12.80,-4.00,1.40,6.80,8.00,-1.60,-2.40,1.80,-2.40
2016-10-26,Golden State Warriors,San Antonio Spurs,1.25,4.25,0,0.74,-10.13,-239,7.40,1.20,-597,4.49,-0.02,-0.05,0.00,2.45,-1.47,-1.50,-3.09,-2.28,-2.40,-1.20,-6.20,-0.40,1.60,4.00,-2.20,3.60,0.40
2016-10-26,Orlando Magic,Miami Heat,1.65,2.35,0,-4.08,3.52,-150,10.80,-5.20,160,-1.83,0.03,0.14,0.00,1.13,0.60,-0.66,1.89,-0.98,22.00,7.00,-4.60,-4.40,-0.60,15.00,3.80,-4.40,1.00
2016-10-26,Indiana Pacers,Dallas Mavericks,1.47,2.85,1,1.71,5.72,-488,11.00,-9.80,684,-1.62,0.13,0.25,0.09,-0.12,-1.16,2.09,1.94,0.88,13.20,6.60,10.20,6.40,2.00,6.00,2.80,3.80,2.20
2016-10-26,Boston Celtics,Brooklyn Nets,1.11,7.01,1,3.21,-7.23,-84,0.20,-18.00,870,6.22,-0.09,-0.11,-0.08,1.03,1.76,1.44,-1.06,0.45,4.00,2.00,11.20,0.60,-3.80,-3.80,-3.20,-1.40,0.40
2016-10-26,Toronto Raptors,Detroit Pistons,1.38,3.10,1,-5.97,-2.58,61,6.00,-6.80,324,-0.75,0.01,-0.01,0.02,-0.02,-1.56,0.42,2.25,-0.80,1.20,1.40,7.40,0.00,2.00,-6.00,0.20,-2.40,-0.80
2016-10-27,Milwaukee Bucks,Charlotte Hornets,2.00,1.83,0,-8.89,-6.92,-81,-4.80,-12.20,209,-1.07,-0.04,0.00,-0.04,0.37,-4.00,-0.48,-1.38,0.04,3.40,5.00,-14.00,-3.80,3.00,9.00,3.60,3.40,2.40
2016-10-27,Memphis Grizzlies,Minnesota Timberwolves,2.00,1.83,1,1.89,-3.54,551.2,-3.80,1.20,447,-0.90,-0.09,-0.16,-0.05,0.37,-2.54,0.90,-0.94,0.47,-13.60,-6.00,5.80,-8.00,5.20,-9.80,-1.80,-2.00,0.20
2016-10-27,New Orleans Pelicans,Denver Nuggets,1.80,2.05,0,-2.33,-2.03,112,-0.80,-2.80,72,-3.33,0.01,0.00,0.00,2.11,-1.50,1.88,0.70,0.50,3.40,2.00,5.80,7.80,-4.00,-1.60,0.60,-1.00,-3.40
2016-10-27,Philadelphia 76ers,Oklahoma City Thunder,4.65,1.22,0,-3.79,-4.13,276,-4.40,-6.80,316,3.57,-0.03,0.02,0.02,-0.90,-1.24,-0.30,-1.68,-1.60,2.20,-4.00,-0.80,0.40,-0.60,3.60,0.40,-2.80,0.00
2016-10-27,Phoenix Suns,Sacramento Kings,1.67,2.30,0,-2.27,-1.16,127,-4.00,-8.60,561,-3.50,-0.01,0.08,0.00,-0.09,-2.84,-2.48,-0.96,0.67,0.20,-1.00,16.40,-11.40,4.20,-3.00,-1.60,3.80,-2.40
2016-10-27,Los Angeles Lakers,Houston Rockets,3.10,1.38,1,-0.88,8.65,392,-4.60,-9.20,253,-6.84,0.05,0.07,0.00,1.86,-5.65,1.72,0.79,-0.87,-1.60,-2.80,12.80,-7.40,-0.20,-3.80,-0.20,-5.80,-2.00
2016-10-27,Atlanta Hawks,Washington Wizards,1.57,2.55,1,2.84,-2.05,-100,6.20,-2.20,-76,-4.37,-0.07,-0.03,-0.06,-2.34,0.66,-0.11,-1.00,1.53,-7.40,-2.60,4.80,-1.20,-2.40,-1.00,1.80,-1.60,5.40
2016-10-28,Chicago Bulls,Boston Celtics,1.87,1.95,1,2.46,3.21,-146,-0.20,-9.80,74,-2.78,-0.01,0.00,0.02,-2.87,-3.17,-1.96,-1.96,0.51,9.40,4.00,1.40,16.20,2.00,0.00,-0.20,-3.60,1.00
2016-10-28,Sacramento Kings,San Antonio Spurs,3.95,1.28,0,-1.16,-10.13,140,-2.20,5.20,-362,4.56,0.03,0.06,0.02,0.84,2.19,-0.21,-2.22,-0.96,0.60,2.60,-11.00,0.40,0.20,2.40,0.40,5.00,1.40
2016-10-28,Portland Trail Blazers,LA Clippers,2.20,1.71,0,7.22,4.28,-61,6.20,-6.20,208,4.82,-0.13,-0.11,-0.11,4.05,-0.28,-1.20,2.31,0.24,16.00,2.60,11.60,21.20,3.40,5.20,-4.80,2.80,0.20
2016-10-28,Toronto Raptors,Cleveland Cavaliers,2.25,1.69,0,-5.97,-1.66,53,8.00,-0.60,86,-0.63,0.01,-0.01,-0.01,0.12,-1.69,1.84,3.21,-1.67,6.40,3.20,1.60,-2.20,3.40,-2.00,-3.00,-4.00,-3.00
2016-10-28,Brooklyn Nets,Indiana Pacers,2.90,1.43,1,-7.23,1.71,182,-3.20,-1.00,254,-3.51,0.00,0.00,0.00,0.20,1.07,-1.40,-0.09,-0.72,11.20,2.00,-10.80,-4.40,3.20,5.60,1.80,0.00,0.40
2016-10-28,Detroit Pistons,Orlando Magic,1.56,2.60,1,-2.58,-4.08,9,-2.80,-6.00,294,-0.10,-0.02,-0.02,0.00,1.55,-0.70,-0.46,-0.12,0.18,-7.40,-3.40,-2.60,2.60,1.40,-4.20,-2.20,-3.80,-0.60
2016-10-29,Oklahoma City Thunder,Phoenix Suns,1.29,3.80,1,-4.13,-2.27,-38,14.60,0.20,458,0.88,0.03,-0.07,0.00,0.10,2.32,2.31,2.01,0.08,6.20,0.60,3.00,-7.80,0.60,-3.60,-0.20,-7.40,3.20
2016-10-29,Miami Heat,Charlotte Hornets,2.00,1.83,0,3.52,-6.92,-231,9.20,-12.80,135,5.09,-0.02,-0.12,-0.01,-1.59,0.47,0.93,-1.93,1.38,3.60,4.80,-4.00,-5.00,-0.80,0.00,0.60,0.60,2.00
2016-10-29,Dallas Mavericks,Houston Rockets,2.10,1.77,0,5.72,8.65,91,-6.60,-10.00,226,-8.86,-0.01,0.02,-0.03,0.44,-5.26,-1.35,-1.80,-2.08,-3.20,2.00,12.40,0.20,-4.40,-1.00,-1.60,-5.40,-0.60
2016-10-29,Utah Jazz,Los Angeles Lakers,1.22,4.70,1,0.53,-0.88,-299,-1.60,-26.20,899,-0.76,-0.02,0.01,0.01,-0.15,-0.68,-3.13,-1.38,-0.55,4.80,9.80,-18.40,-4.20,-0.20,-1.00,-1.00,0.80,0.40
2016-10-29,New Orleans Pelicans,Golden State Warriors,8.00,1.10,0,-2.33,0.74,52,-3.40,-10.00,69,-4.21,0.01,0.10,-0.02,-0.82,0.52,1.71,0.34,0.53,5.60,5.00,12.80,-0.80,-0.20,7.00,1.00,-2.20,-0.80
2016-10-29,Philadelphia 76ers,Atlanta Hawks,3.85,1.27,0,-3.79,2.84,219,-2.60,-8.20,94,0.90,0.05,0.09,0.05,1.27,-3.20,-1.05,-1.49,-1.90,4.60,-1.20,-7.40,3.20,1.40,4.40,0.80,-2.80,-1.40
2016-10-29,Charlotte Hornets,Boston Celtics,2.25,1.69,0,-6.92,3.21,-652,8.20,-12.40,153,-6.28,0.05,0.04,0.05,-1.14,-1.93,-1.33,0.82,-0.39,8.60,5.00,6.60,2.20,-2.60,-2.40,1.00,-5.60,-0.20
2016-10-29,New York Knicks,Memphis Grizzlies,1.65,2.35,1,1.72,1.89,147,-4.60,-23.00,1308,-2.19,-0.02,-0.08,-0.04,-0.57,-0.63,-2.29,-0.81,1.24,9.60,2.60,15.20,10.20,-1.80,2.60,-4.40,-2.40,3.20
2016-10-29,Cleveland Cavaliers,Orlando Magic,1.13,6.00,1,-1.66,-4.08,-348,20.00,-9.00,226,-0.22,-0.03,-0.02,0.03,1.41,-0.57,-1.89,-1.08,1.05,12.00,4.80,-1.20,6.00,4.00,-0.80,1.60,-0.80,1.00
2016-10-30,Chicago Bulls,Indiana Pacers,1.61,2.45,1,2.46,1.71,-79,2.60,-3.80,174,-0.08,-0.10,-0.10,-0.06,-1.64,-0.33,-1.93,-3.11,0.23,11.20,-1.20,1.20,4.80,6.80,5.20,-0.80,-0.80,0.60
2016-10-30,Milwaukee Bucks,Brooklyn Nets,1.28,3.80,1,-8.89,-7.23,9,-9.20,-15.00,670.2,-1.14,-0.08,-0.06,-0.07,0.26,-4.17,-0.38,-1.62,0.10,-7.20,4.80,-3.20,-8.60,-4.00,1.80,-1.60,-0.60,0.80
2016-10-30,San Antonio Spurs,New Orleans Pelicans,1.05,10.00,1,-10.13,-2.33,-4206,17.00,-9.00,873,-0.28,0.01,-0.05,0.02,-1.63,0.95,-0.21,2.74,1.74,3.00,2.00,7.20,6.40,-2.40,-2.40,2.60,-6.00,6.20
2016-10-30,Denver Nuggets,Portland Trail Blazers,2.05,1.80,0,-2.03,7.22,-34,-10.40,-7.60,383,-8.44,0.02,0.10,0.02,-3.70,-0.72,-0.59,-2.71,-2.09,-6.60,2.60,1.20,-4.40,-1.60,0.80,-1.00,2.20,2.00
2016-10-30,Sacramento Kings,Minnesota Timberwolves,1.91,1.91,1,-1.16,-3.54,178,-5.60,-0.20,351,-0.58,-0.05,-0.12,-0.03,0.44,0.11,0.31,-1.22,0.47,0.00,-0.80,4.40,-4.20,0.20,-4.20,-1.40,1.80,-0.40
