FIGHTER_A,FIGHTER_B,Result,A Win,B Win,A_WIN_DIFF,A_FINISH_DIFF,A_AVG_ODDS,A_CUMULATIVE_RDS,A_STR_ACCURACY_DIFF,A_AVG_TD_ACCURACY,A_AVG_TD_DEFENCE,A_CTRL_TIME_DIFF,A_KD_PER_RD_DIFF,A_STR_PER_RD_DIFF,A_STR_ATTEMPT_PER_RD_DIFF,A_TD_PER_RD_DIFF,A_TD_ATTEMPT_PER_RD_DIFF,A_SUB_ATTEMPT_PER_RD_DIFF,B_WIN_DIFF,B_FINISH_DIFF,B_AVG_ODDS,B_CUMULATIVE_RDS,B_STR_ACCURACY_DIFF,B_AVG_TD_ACCURACY,B_AVG_TD_DEFENCE,B_CTRL_TIME_DIFF,B_KD_PER_RD_DIFF,B_STR_PER_RD_DIFF,B_STR_ATTEMPT_PER_RD_DIFF,B_TD_PER_RD_DIFF,B_TD_ATTEMPT_PER_RD_DIFF,B_SUB_ATTEMPT_PER_RD_DIFF,A_HEIGHT_DIFF,A_REACH_DIFF,A_AGE_DIFF,A_CUMULATIVE_RDS_DIFF
Sean Strickland,Alex Pereira,0,1.77,2.1,9,3,1.78,43.00,0.05,0.37,0.87,0.06,0.05,7.67,9.67,0.21,-0.49,0.09,2.00,1.00,1.42,5.00,0.27,0.00,0.74,-0.44,0.20,11.40,7.80,-0.80,-3.00,0.00,-3,-3,-4,38.00
Jessica-Rose Clark,Julija Stoliarenko,0,1.67,2.35,1,0,1.77,19.00,0.10,0.54,0.67,0.20,0.00,1.95,-5.74,0.21,0.00,0.00,-4.00,-1.00,3.05,12.00,-0.22,0.08,0.56,-0.42,0.00,-7.50,-4.67,-0.17,0.00,0.25,-2,-2,6,7.00
Bryan Barberena,Robbie Lawler,1,1.82,2.02,2,2,2.74,37.00,-0.03,0.10,0.73,-0.14,0.08,3.70,12.54,-1.05,-2.30,-0.08,4.00,3.00,2.58,55.00,0.11,0.19,0.73,-0.16,0.07,-4.73,-18.51,-0.56,-1.67,-0.05,1,-2,-7,-18.00
Maycee Barber,Jessica Eye,1,1.3,3.75,3,3,1.68,17.00,0.08,0.17,0.64,-0.04,-0.06,6.06,9.12,0.18,0.82,0.00,-4.00,0.00,2.76,45.00,-0.07,0.21,0.70,-0.11,-0.04,-1.07,5.00,-0.22,-0.53,-0.02,-1,-1,-12,-28.00
Max Holloway,Alexander Volkanovski,0,2.55,1.57,13,10,1.89,80.00,0.06,0.18,0.86,-0.04,0.10,12.96,18.36,-0.20,-1.73,0.08,11.00,4.00,1.66,37.00,0.20,0.32,0.74,0.25,0.11,15.84,14.51,0.41,0.97,0.00,5,-2,-3,43.00
Donald Cerrone,Jim Miller,0,2.6,1.54,10,8,1.92,79.00,0.00,0.28,0.95,0.02,0.14,-0.94,-0.94,0.22,0.18,0.10,8.00,10.00,2.19,87.00,0.01,0.40,0.67,0.01,0.03,-0.63,-2.02,-0.03,0.13,0.33,5,2,0,-8.00
Ian Garry,Gabe Green,1,1.53,2.65,2,1,1.25,4.00,0.10,0.00,0.84,-0.09,0.25,7.50,11.25,-0.25,-1.00,0.00,1.00,1.00,1.68,8.00,-0.06,0.33,0.39,-0.10,0.13,-1.63,4.75,-0.38,-1.13,0.00,5,1,-4,-4.00
Brad Tavares,Dricus Du Plessis,0,2.6,1.54,8,-1,1.87,55.00,-0.03,0.17,0.83,-0.04,-0.04,2.04,4.78,-0.07,-0.69,-0.15,2.00,2.00,1.68,3.00,0.17,0.25,1.00,0.11,0.67,9.00,10.33,0.67,1.33,0.00,0,-2,7,52.00
Brad Riddell,Jalin Turner,0,2.3,1.67,3,-1,1.92,15.00,0.05,0.57,0.71,-0.10,0.07,5.80,6.60,-0.40,-1.13,-0.13,3.00,4.00,2.20,12.00,-0.09,0.43,0.89,0.14,0.25,7.42,22.42,-0.25,-1.83,0.33,-8,-6,4,3.00
Uriah Hall,Andre Muniz,0,3.75,1.3,2,5,2.28,42.00,0.00,0.18,0.75,-0.17,0.12,-2.62,-8.05,-0.24,-0.74,-0.02,4.00,3.00,1.93,6.00,0.01,0.37,0.50,-0.02,0.00,-1.17,-1.50,0.67,1.50,1.17,-1,1,6,36.00
